127.0.0.1 - - [22/Jun/2020:12:48:34 +0900] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:35 +0900] "GET /semiProject/sell_status/list.jsp HTTP/1.1" 200 5048
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:35 +0900] "GET /semiProject/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:35 +0900] "GET /semiProject/home.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:35 +0900] "GET /semiProject/images/footerImage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:35 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:35 +0900] "GET /semiProject/Sell_Status/list?key=cvs_code&word=&page=1&perPage=10&order=cvs_code&desc= HTTP/1.1" 200 1443
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:40 +0900] "GET /semiProject/product/list.jsp HTTP/1.1" 200 5193
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:40 +0900] "GET /semiProject/home3.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:40 +0900] "GET /semiProject/product/list?key=product_code&word=&page=1&perPage=8&order=product_code&desc= HTTP/1.1" 200 1866
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:40 +0900] "GET /img/product/CCD840EAACB044AEA1AD094DD5E78C41.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:40 +0900] "GET /img/product/8809114072888.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:40 +0900] "GET /img/product/8809592640234.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:40 +0900] "GET /img/product/8801121756522.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:40 +0900] "GET /img/product/8805489661412.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:40 +0900] "GET /img/product/8801047284604.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:40 +0900] "GET /img/product/8804645000423.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:40 +0900] "GET /img/product/838821FF5F4F4B23BF5B7A8363A90E6A.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:41 +0900] "GET /semiProject/product/list?key=product_code&word=&page=2&perPage=8&order=product_code&desc= HTTP/1.1" 200 1853
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:41 +0900] "GET /img/product/8801104667630.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:41 +0900] "GET /img/product/8809184805713.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:41 +0900] "GET /img/product/14124214141.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:41 +0900] "GET /img/product/1421421421421.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:41 +0900] "GET /img/product/%EC%BA%A1%EC%B2%98.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:41 +0900] "GET /img/product/65655.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:41 +0900] "GET /img/product/1345323443.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:41 +0900] "GET /img/product/626353.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:41 +0900] "GET /semiProject/product/list?key=product_code&word=&page=3&perPage=8&order=product_code&desc= HTTP/1.1" 200 1765
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:41 +0900] "GET /img/product/456345.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:41 +0900] "GET /img/product/Koala.jpg HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:41 +0900] "GET /img/product/343243242.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:41 +0900] "GET /img/product/1541514.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:41 +0900] "GET /img/product/34551.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:41 +0900] "GET /img/product/4354314.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:41 +0900] "GET /img/product/352323.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:41 +0900] "GET /img/product/345352.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:42 +0900] "GET /semiProject/product/list?key=product_code&word=&page=4&perPage=8&order=product_code&desc= HTTP/1.1" 200 1795
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:42 +0900] "GET /img/product/3453245.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:42 +0900] "GET /img/product/4554154.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:42 +0900] "GET /img/product/654654.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:42 +0900] "GET /img/product/656542.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:42 +0900] "GET /img/product/456543.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:42 +0900] "GET /img/product/5546345.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:42 +0900] "GET /img/product/8545.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:42 +0900] "GET /img/product/345325432.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:42 +0900] "GET /semiProject/product/list?key=product_code&word=&page=5&perPage=8&order=product_code&desc= HTTP/1.1" 200 1888
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:42 +0900] "GET /img/product/8809194495331.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:42 +0900] "GET /img/product/8801206000366.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:42 +0900] "GET /img/product/FB36CD1D05E049A59EE1E4482A517AF6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:42 +0900] "GET /img/product/5C3DE122CF524D36A349562EC561BEF9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:42 +0900] "GET /img/product/8809194495393.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:12:48:42 +0900] "GET /img/product/8809194495249.jpg HTTP/1.1" 304 -
